building,vlan,name,role,assumed_endpoints,growth_endpoints,reserved_hosts,network,mask,wildcard,first_host,last_host,broadcast,usable,endpoint_capacity,vip,dist1,dist2,dhcp_start,dhcp_end
A,10,ADMIN,admin,24,30,15,10.10.5.128/26,255.255.255.192,0.0.0.63,10.10.5.129,10.10.5.190,10.10.5.191,62,47,10.10.5.129,10.10.5.130,10.10.5.131,10.10.5.144,10.10.5.190
A,20,FACULTY,faculty,48,60,15,10.10.4.0/25,255.255.255.128,0.0.0.127,10.10.4.1,10.10.4.126,10.10.4.127,126,111,10.10.4.1,10.10.4.2,10.10.4.3,10.10.4.16,10.10.4.126
A,30,CYBER_STUDENTS,student,120,150,15,10.10.0.0/24,255.255.255.0,0.0.0.255,10.10.0.1,10.10.0.254,10.10.0.255,254,239,10.10.0.1,10.10.0.2,10.10.0.3,10.10.0.16,10.10.0.254
A,31,NETWORK_STUDENTS,student,100,125,15,10.10.1.0/24,255.255.255.0,0.0.0.255,10.10.1.1,10.10.1.254,10.10.1.255,254,239,10.10.1.1,10.10.1.2,10.10.1.3,10.10.1.16,10.10.1.254
A,32,SOFTWARE_STUDENTS,student,140,175,15,10.10.2.0/24,255.255.255.0,0.0.0.255,10.10.2.1,10.10.2.254,10.10.2.255,254,239,10.10.2.1,10.10.2.2,10.10.2.3,10.10.2.16,10.10.2.254
A,40,LABS,student,100,125,15,10.10.3.0/24,255.255.255.0,0.0.0.255,10.10.3.1,10.10.3.254,10.10.3.255,254,239,10.10.3.1,10.10.3.2,10.10.3.3,10.10.3.16,10.10.3.254
A,60,GUEST,guest,80,100,15,10.10.4.128/25,255.255.255.128,0.0.0.127,10.10.4.129,10.10.4.254,10.10.4.255,126,111,10.10.4.129,10.10.4.130,10.10.4.131,10.10.4.144,10.10.4.254
A,70,VOICE,voice,60,75,15,10.10.5.0/25,255.255.255.128,0.0.0.127,10.10.5.1,10.10.5.126,10.10.5.127,126,111,10.10.5.1,10.10.5.2,10.10.5.3,10.10.5.16,10.10.5.126
A,80,SECURITY,security,16,20,15,10.10.5.192/26,255.255.255.192,0.0.0.63,10.10.5.193,10.10.5.254,10.10.5.255,62,47,10.10.5.193,10.10.5.194,10.10.5.195,,
A,99,MANAGEMENT,management,16,20,15,10.10.6.0/26,255.255.255.192,0.0.0.63,10.10.6.1,10.10.6.62,10.10.6.63,62,47,10.10.6.1,10.10.6.2,10.10.6.3,,
B,10,ADMIN,admin,20,25,15,10.20.4.0/26,255.255.255.192,0.0.0.63,10.20.4.1,10.20.4.62,10.20.4.63,62,47,10.20.4.1,10.20.4.2,10.20.4.3,10.20.4.16,10.20.4.62
B,20,FACULTY,faculty,40,50,15,10.20.2.0/25,255.255.255.128,0.0.0.127,10.20.2.1,10.20.2.126,10.20.2.127,126,111,10.20.2.1,10.20.2.2,10.20.2.3,10.20.2.16,10.20.2.126
B,30,CIVIL_STUDENTS,student,140,175,15,10.20.0.0/24,255.255.255.0,0.0.0.255,10.20.0.1,10.20.0.254,10.20.0.255,254,239,10.20.0.1,10.20.0.2,10.20.0.3,10.20.0.16,10.20.0.254
B,31,ELECTRICAL_STUDENTS,student,160,200,15,10.20.1.0/24,255.255.255.0,0.0.0.255,10.20.1.1,10.20.1.254,10.20.1.255,254,239,10.20.1.1,10.20.1.2,10.20.1.3,10.20.1.16,10.20.1.254
B,40,LABS,student,80,100,15,10.20.2.128/25,255.255.255.128,0.0.0.127,10.20.2.129,10.20.2.254,10.20.2.255,126,111,10.20.2.129,10.20.2.130,10.20.2.131,10.20.2.144,10.20.2.254
B,60,GUEST,guest,60,75,15,10.20.3.0/25,255.255.255.128,0.0.0.127,10.20.3.1,10.20.3.126,10.20.3.127,126,111,10.20.3.1,10.20.3.2,10.20.3.3,10.20.3.16,10.20.3.126
B,70,VOICE,voice,48,60,15,10.20.3.128/25,255.255.255.128,0.0.0.127,10.20.3.129,10.20.3.254,10.20.3.255,126,111,10.20.3.129,10.20.3.130,10.20.3.131,10.20.3.144,10.20.3.254
B,80,SECURITY,security,16,20,15,10.20.4.64/26,255.255.255.192,0.0.0.63,10.20.4.65,10.20.4.126,10.20.4.127,62,47,10.20.4.65,10.20.4.66,10.20.4.67,,
B,99,MANAGEMENT,management,16,20,15,10.20.4.128/26,255.255.255.192,0.0.0.63,10.20.4.129,10.20.4.190,10.20.4.191,62,47,10.20.4.129,10.20.4.130,10.20.4.131,,
C,10,ADMIN,admin,20,25,15,10.30.3.128/26,255.255.255.192,0.0.0.63,10.30.3.129,10.30.3.190,10.30.3.191,62,47,10.30.3.129,10.30.3.130,10.30.3.131,10.30.3.144,10.30.3.190
C,20,FACULTY,faculty,36,45,15,10.30.3.192/26,255.255.255.192,0.0.0.63,10.30.3.193,10.30.3.254,10.30.3.255,62,47,10.30.3.193,10.30.3.194,10.30.3.195,10.30.3.208,10.30.3.254
C,30,PHYSICS_STUDENTS,student,110,138,15,10.30.0.0/24,255.255.255.0,0.0.0.255,10.30.0.1,10.30.0.254,10.30.0.255,254,239,10.30.0.1,10.30.0.2,10.30.0.3,10.30.0.16,10.30.0.254
C,31,CHEMISTRY_STUDENTS,student,130,163,15,10.30.1.0/24,255.255.255.0,0.0.0.255,10.30.1.1,10.30.1.254,10.30.1.255,254,239,10.30.1.1,10.30.1.2,10.30.1.3,10.30.1.16,10.30.1.254
C,40,LABS,student,80,100,15,10.30.2.0/25,255.255.255.128,0.0.0.127,10.30.2.1,10.30.2.126,10.30.2.127,126,111,10.30.2.1,10.30.2.2,10.30.2.3,10.30.2.16,10.30.2.126
C,60,GUEST,guest,60,75,15,10.30.2.128/25,255.255.255.128,0.0.0.127,10.30.2.129,10.30.2.254,10.30.2.255,126,111,10.30.2.129,10.30.2.130,10.30.2.131,10.30.2.144,10.30.2.254
