name,model,layer,building,router_id,management_ip
CORE-1,3650-24PS,Core,,10.255.255.1,10.50.3.4
CORE-2,3650-24PS,Core,,10.255.255.2,10.50.3.5
DIST-A1,2911,Distribution,A,10.255.255.11,10.10.6.2
DIST-A2,2911,Distribution,A,10.255.255.12,10.10.6.3
ACC-A1,2960-24TT,Access,A,,10.10.6.11
ACC-A2,2960-24TT,Access,A,,10.10.6.12
DIST-B1,2911,Distribution,B,10.255.255.13,10.20.4.130
DIST-B2,2911,Distribution,B,10.255.255.14,10.20.4.131
ACC-B1,2960-24TT,Access,B,,10.20.4.139
ACC-B2,2960-24TT,Access,B,,10.20.4.140
DIST-C1,2911,Distribution,C,10.255.255.15,10.30.4.66
DIST-C2,2911,Distribution,C,10.255.255.16,10.30.4.67
ACC-C1,2960-24TT,Access,C,,10.30.4.75
ACC-C2,2960-24TT,Access,C,,10.30.4.76
DIST-D1,2911,Distribution,D,10.255.255.17,10.40.4.66
DIST-D2,2911,Distribution,D,10.255.255.18,10.40.4.67
ACC-D1,2960-24TT,Access,D,,10.40.4.75
ACC-D2,2960-24TT,Access,D,,10.40.4.76
DIST-E1,2911,Distribution,E,10.255.255.19,10.50.3.2
DIST-E2,2911,Distribution,E,10.255.255.20,10.50.3.3
ACC-E1,2960-24TT,Access,E,,10.50.3.11
ACC-E2,2960-24TT,Access,E,,10.50.3.12
EDGE,2911,Border,,10.255.255.30,10.255.254.30
ISP,2911,External,,,
DHCP-1,2911,Service,E,,10.50.2.138
