name,building,vlan,switch,port,ip,mask,gateway,dns,role
A-ADMIN-PC,A,10,ACC-A1,FastEthernet0/1,DHCP,255.255.255.192,10.10.5.129,10.50.2.139,admin
A-FACULTY-PC,A,20,ACC-A1,FastEthernet0/2,DHCP,255.255.255.128,10.10.4.1,10.50.2.139,faculty
A-CYBER_STUDENTS-PC,A,30,ACC-A1,FastEthernet0/3,DHCP,255.255.255.0,10.10.0.1,10.50.2.139,student
A-NETWORK_STUDENTS-PC,A,31,ACC-A1,FastEthernet0/4,DHCP,255.255.255.0,10.10.1.1,10.50.2.139,student
A-SOFTWARE_STUDENTS-PC,A,32,ACC-A1,FastEthernet0/5,DHCP,255.255.255.0,10.10.2.1,10.50.2.139,student
A-LABS-PC,A,40,ACC-A1,FastEthernet0/6,DHCP,255.255.255.0,10.10.3.1,10.50.2.139,student
A-GUEST-PC,A,60,ACC-A1,FastEthernet0/7,DHCP,255.255.255.128,10.10.4.129,10.50.2.139,guest
A-VOICE-PC,A,70,ACC-A1,FastEthernet0/8,DHCP,255.255.255.128,10.10.5.1,10.50.2.139,voice
A-SECURITY-PC,A,80,ACC-A1,FastEthernet0/9,10.10.5.208,255.255.255.192,10.10.5.193,10.50.2.139,security
B-ADMIN-PC,B,10,ACC-B1,FastEthernet0/1,DHCP,255.255.255.192,10.20.4.1,10.50.2.139,admin
B-FACULTY-PC,B,20,ACC-B1,FastEthernet0/2,DHCP,255.255.255.128,10.20.2.1,10.50.2.139,faculty
B-CIVIL_STUDENTS-PC,B,30,ACC-B1,FastEthernet0/3,DHCP,255.255.255.0,10.20.0.1,10.50.2.139,student
B-ELECTRICAL_STUDENTS-PC,B,31,ACC-B1,FastEthernet0/4,DHCP,255.255.255.0,10.20.1.1,10.50.2.139,student
B-LABS-PC,B,40,ACC-B1,FastEthernet0/5,DHCP,255.255.255.128,10.20.2.129,10.50.2.139,student
B-GUEST-PC,B,60,ACC-B1,FastEthernet0/6,DHCP,255.255.255.128,10.20.3.1,10.50.2.139,guest
B-VOICE-PC,B,70,ACC-B1,FastEthernet0/7,DHCP,255.255.255.128,10.20.3.129,10.50.2.139,voice
B-SECURITY-PC,B,80,ACC-B1,FastEthernet0/8,10.20.4.80,255.255.255.192,10.20.4.65,10.50.2.139,security
C-ADMIN-PC,C,10,ACC-C1,FastEthernet0/1,DHCP,255.255.255.192,10.30.3.129,10.50.2.139,admin
C-FACULTY-PC,C,20,ACC-C1,FastEthernet0/2,DHCP,255.255.255.192,10.30.3.193,10.50.2.139,faculty
C-PHYSICS_STUDENTS-PC,C,30,ACC-C1,FastEthernet0/3,DHCP,255.255.255.0,10.30.0.1,10.50.2.139,student
C-CHEMISTRY_STUDENTS-PC,C,31,ACC-C1,FastEthernet0/4,DHCP,255.255.255.0,10.30.1.1,10.50.2.139,student
C-LABS-PC,C,40,ACC-C1,FastEthernet0/5,DHCP,255.255.255.128,10.30.2.1,10.50.2.139,student
C-GUEST-PC,C,60,ACC-C1,FastEthernet0/6,DHCP,255.255.255.128,10.30.2.129,10.50.2.139,guest
C-VOICE-PC,C,70,ACC-C1,FastEthernet0/7,DHCP,255.255.255.128,10.30.3.1,10.50.2.139,voice
C-SECURITY-PC,C,80,ACC-C1,FastEthernet0/8,10.30.4.16,255.255.255.192,10.30.4.1,10.50.2.139,security
D-ADMIN-PC,D,10,ACC-D1,FastEthernet0/1,DHCP,255.255.255.192,10.40.4.1,10.50.2.139,admin
D-FACULTY-PC,D,20,ACC-D1,FastEthernet0/2,DHCP,255.255.255.128,10.40.2.1,10.50.2.139,faculty
D-BUSINESS_STUDENTS-PC,D,30,ACC-D1,FastEthernet0/3,DHCP,255.255.255.0,10.40.0.1,10.50.2.139,student
D-ACCOUNTING_STUDENTS-PC,D,31,ACC-D1,FastEthernet0/4,DHCP,255.255.255.0,10.40.1.1,10.50.2.139,student
D-ECONOMICS_STUDENTS-PC,D,32,ACC-D1,FastEthernet0/5,DHCP,255.255.255.128,10.40.2.129,10.50.2.139,student
D-GUEST-PC,D,60,ACC-D1,FastEthernet0/6,DHCP,255.255.255.128,10.40.3.1,10.50.2.139,guest
D-VOICE-PC,D,70,ACC-D1,FastEthernet0/7,DHCP,255.255.255.128,10.40.3.129,10.50.2.139,voice
D-SECURITY-PC,D,80,ACC-D1,FastEthernet0/8,10.40.4.144,255.255.255.224,10.40.4.129,10.50.2.139,security
E-UNIVERSITY_ADMIN-PC,E,10,ACC-E1,FastEthernet0/1,DHCP,255.255.255.128,10.50.0.1,10.50.2.139,admin
E-STUDENT_AFFAIRS-PC,E,11,ACC-E1,FastEthernet0/2,DHCP,255.255.255.128,10.50.0.129,10.50.2.139,admin
E-HR-PC,E,12,ACC-E1,FastEthernet0/3,DHCP,255.255.255.192,10.50.2.1,10.50.2.139,hr
E-FINANCE-PC,E,13,ACC-E1,FastEthernet0/4,DHCP,255.255.255.192,10.50.2.65,10.50.2.139,finance
E-GUEST-PC,E,60,ACC-E1,FastEthernet0/5,DHCP,255.255.255.128,10.50.1.1,10.50.2.139,guest
E-VOICE-PC,E,70,ACC-E1,FastEthernet0/6,DHCP,255.255.255.128,10.50.1.129,10.50.2.139,voice
E-SECURITY-PC,E,80,ACC-E1,FastEthernet0/7,10.50.2.208,255.255.255.192,10.50.2.193,10.50.2.139,security
DNS-SERVER,E,50,ACC-E2,FastEthernet0/2,10.50.2.139,255.255.255.192,10.50.2.129,10.50.2.139,dns
EDU-WEB,E,50,ACC-E2,FastEthernet0/3,10.50.2.140,255.255.255.192,10.50.2.129,10.50.2.139,web
IT-ADMIN,E,99,ACC-E2,FastEthernet0/4,10.50.3.10,255.255.255.192,10.50.3.1,10.50.2.139,management
HR-TEST,E,12,ACC-E2,FastEthernet0/5,DHCP,255.255.255.192,10.50.2.1,10.50.2.139,hr
FINANCE-TEST,E,13,ACC-E2,FastEthernet0/6,DHCP,255.255.255.192,10.50.2.65,10.50.2.139,finance
PUBLIC-WEB,ISP,0,ISP,GigabitEthernet0/1,203.0.113.10,255.255.255.0,203.0.113.1,10.50.2.139,external
