a,a_port,b,b_port,kind,network,a_ip,b_ip
CORE-1,GigabitEthernet1/0/11,CORE-2,GigabitEthernet1/0/11,routed,10.0.0.0/30,10.0.0.1,10.0.0.2
CORE-1,GigabitEthernet1/0/1,DIST-A1,GigabitEthernet0/0,routed,10.0.0.4/30,10.0.0.5,10.0.0.6
CORE-2,GigabitEthernet1/0/1,DIST-A1,GigabitEthernet0/1,routed,10.0.0.8/30,10.0.0.9,10.0.0.10
CORE-1,GigabitEthernet1/0/2,DIST-A2,GigabitEthernet0/0,routed,10.0.0.12/30,10.0.0.13,10.0.0.14
CORE-2,GigabitEthernet1/0/2,DIST-A2,GigabitEthernet0/1,routed,10.0.0.16/30,10.0.0.17,10.0.0.18
DIST-A1,GigabitEthernet0/2,ACC-A1,GigabitEthernet0/1,trunk,,,
DIST-A2,GigabitEthernet0/2,ACC-A2,GigabitEthernet0/1,trunk,,,
ACC-A1,GigabitEthernet0/2,ACC-A2,GigabitEthernet0/2,trunk,,,
CORE-1,GigabitEthernet1/0/3,DIST-B1,GigabitEthernet0/0,routed,10.0.0.20/30,10.0.0.21,10.0.0.22
CORE-2,GigabitEthernet1/0/3,DIST-B1,GigabitEthernet0/1,routed,10.0.0.24/30,10.0.0.25,10.0.0.26
CORE-1,GigabitEthernet1/0/4,DIST-B2,GigabitEthernet0/0,routed,10.0.0.28/30,10.0.0.29,10.0.0.30
CORE-2,GigabitEthernet1/0/4,DIST-B2,GigabitEthernet0/1,routed,10.0.0.32/30,10.0.0.33,10.0.0.34
DIST-B1,GigabitEthernet0/2,ACC-B1,GigabitEthernet0/1,trunk,,,
DIST-B2,GigabitEthernet0/2,ACC-B2,GigabitEthernet0/1,trunk,,,
ACC-B1,GigabitEthernet0/2,ACC-B2,GigabitEthernet0/2,trunk,,,
CORE-1,GigabitEthernet1/0/5,DIST-C1,GigabitEthernet0/0,routed,10.0.0.36/30,10.0.0.37,10.0.0.38
CORE-2,GigabitEthernet1/0/5,DIST-C1,GigabitEthernet0/1,routed,10.0.0.40/30,10.0.0.41,10.0.0.42
CORE-1,GigabitEthernet1/0/6,DIST-C2,GigabitEthernet0/0,routed,10.0.0.44/30,10.0.0.45,10.0.0.46
CORE-2,GigabitEthernet1/0/6,DIST-C2,GigabitEthernet0/1,routed,10.0.0.48/30,10.0.0.49,10.0.0.50
DIST-C1,GigabitEthernet0/2,ACC-C1,GigabitEthernet0/1,trunk,,,
DIST-C2,GigabitEthernet0/2,ACC-C2,GigabitEthernet0/1,trunk,,,
ACC-C1,GigabitEthernet0/2,ACC-C2,GigabitEthernet0/2,trunk,,,
CORE-1,GigabitEthernet1/0/7,DIST-D1,GigabitEthernet0/0,routed,10.0.0.52/30,10.0.0.53,10.0.0.54
CORE-2,GigabitEthernet1/0/7,DIST-D1,GigabitEthernet0/1,routed,10.0.0.56/30,10.0.0.57,10.0.0.58
CORE-1,GigabitEthernet1/0/8,DIST-D2,GigabitEthernet0/0,routed,10.0.0.60/30,10.0.0.61,10.0.0.62
CORE-2,GigabitEthernet1/0/8,DIST-D2,GigabitEthernet0/1,routed,10.0.0.64/30,10.0.0.65,10.0.0.66
DIST-D1,GigabitEthernet0/2,ACC-D1,GigabitEthernet0/1,trunk,,,
DIST-D2,GigabitEthernet0/2,ACC-D2,GigabitEthernet0/1,trunk,,,
ACC-D1,GigabitEthernet0/2,ACC-D2,GigabitEthernet0/2,trunk,,,
CORE-1,GigabitEthernet1/0/9,DIST-E1,GigabitEthernet0/0,routed,10.0.0.68/30,10.0.0.69,10.0.0.70
CORE-2,GigabitEthernet1/0/9,DIST-E1,GigabitEthernet0/1,routed,10.0.0.72/30,10.0.0.73,10.0.0.74
CORE-1,GigabitEthernet1/0/10,DIST-E2,GigabitEthernet0/0,routed,10.0.0.76/30,10.0.0.77,10.0.0.78
CORE-2,GigabitEthernet1/0/10,DIST-E2,GigabitEthernet0/1,routed,10.0.0.80/30,10.0.0.81,10.0.0.82
DIST-E1,GigabitEthernet0/2,ACC-E1,GigabitEthernet0/1,trunk,,,
DIST-E2,GigabitEthernet0/2,ACC-E2,GigabitEthernet0/1,trunk,,,
ACC-E1,GigabitEthernet0/2,ACC-E2,GigabitEthernet0/2,trunk,,,
CORE-1,GigabitEthernet1/0/12,EDGE,GigabitEthernet0/0,routed,10.0.0.84/30,10.0.0.85,10.0.0.86
CORE-2,GigabitEthernet1/0/12,EDGE,GigabitEthernet0/1,routed,10.0.0.88/30,10.0.0.89,10.0.0.90
EDGE,GigabitEthernet0/2,ISP,GigabitEthernet0/0,routed,198.51.100.0/30,198.51.100.1,198.51.100.2
DHCP-1,GigabitEthernet0/0,ACC-E2,FastEthernet0/1,access:50,,,
CORE-1,GigabitEthernet1/0/24,ACC-E2,FastEthernet0/20,access:99,,,
CORE-2,GigabitEthernet1/0/24,ACC-E2,FastEthernet0/21,access:99,,,
A-ADMIN-PC,FastEthernet0,ACC-A1,FastEthernet0/1,access:10,,,
A-FACULTY-PC,FastEthernet0,ACC-A1,FastEthernet0/2,access:20,,,
A-CYBER_STUDENTS-PC,FastEthernet0,ACC-A1,FastEthernet0/3,access:30,,,
A-NETWORK_STUDENTS-PC,FastEthernet0,ACC-A1,FastEthernet0/4,access:31,,,
A-SOFTWARE_STUDENTS-PC,FastEthernet0,ACC-A1,FastEthernet0/5,access:32,,,
A-LABS-PC,FastEthernet0,ACC-A1,FastEthernet0/6,access:40,,,
A-GUEST-PC,FastEthernet0,ACC-A1,FastEthernet0/7,access:60,,,
A-VOICE-PC,FastEthernet0,ACC-A1,FastEthernet0/8,access:70,,,
A-SECURITY-PC,FastEthernet0,ACC-A1,FastEthernet0/9,access:80,,,
B-ADMIN-PC,FastEthernet0,ACC-B1,FastEthernet0/1,access:10,,,
B-FACULTY-PC,FastEthernet0,ACC-B1,FastEthernet0/2,access:20,,,
B-CIVIL_STUDENTS-PC,FastEthernet0,ACC-B1,FastEthernet0/3,access:30,,,
B-ELECTRICAL_STUDENTS-PC,FastEthernet0,ACC-B1,FastEthernet0/4,access:31,,,
B-LABS-PC,FastEthernet0,ACC-B1,FastEthernet0/5,access:40,,,
B-GUEST-PC,FastEthernet0,ACC-B1,FastEthernet0/6,access:60,,,
B-VOICE-PC,FastEthernet0,ACC-B1,FastEthernet0/7,access:70,,,
B-SECURITY-PC,FastEthernet0,ACC-B1,FastEthernet0/8,access:80,,,
C-ADMIN-PC,FastEthernet0,ACC-C1,FastEthernet0/1,access:10,,,
C-FACULTY-PC,FastEthernet0,ACC-C1,FastEthernet0/2,access:20,,,
C-PHYSICS_STUDENTS-PC,FastEthernet0,ACC-C1,FastEthernet0/3,access:30,,,
C-CHEMISTRY_STUDENTS-PC,FastEthernet0,ACC-C1,FastEthernet0/4,access:31,,,
C-LABS-PC,FastEthernet0,ACC-C1,FastEthernet0/5,access:40,,,
C-GUEST-PC,FastEthernet0,ACC-C1,FastEthernet0/6,access:60,,,
C-VOICE-PC,FastEthernet0,ACC-C1,FastEthernet0/7,access:70,,,
C-SECURITY-PC,FastEthernet0,ACC-C1,FastEthernet0/8,access:80,,,
D-ADMIN-PC,FastEthernet0,ACC-D1,FastEthernet0/1,access:10,,,
D-FACULTY-PC,FastEthernet0,ACC-D1,FastEthernet0/2,access:20,,,
D-BUSINESS_STUDENTS-PC,FastEthernet0,ACC-D1,FastEthernet0/3,access:30,,,
D-ACCOUNTING_STUDENTS-PC,FastEthernet0,ACC-D1,FastEthernet0/4,access:31,,,
D-ECONOMICS_STUDENTS-PC,FastEthernet0,ACC-D1,FastEthernet0/5,access:32,,,
D-GUEST-PC,FastEthernet0,ACC-D1,FastEthernet0/6,access:60,,,
D-VOICE-PC,FastEthernet0,ACC-D1,FastEthernet0/7,access:70,,,
D-SECURITY-PC,FastEthernet0,ACC-D1,FastEthernet0/8,access:80,,,
E-UNIVERSITY_ADMIN-PC,FastEthernet0,ACC-E1,FastEthernet0/1,access:10,,,
E-STUDENT_AFFAIRS-PC,FastEthernet0,ACC-E1,FastEthernet0/2,access:11,,,
E-HR-PC,FastEthernet0,ACC-E1,FastEthernet0/3,access:12,,,
E-FINANCE-PC,FastEthernet0,ACC-E1,FastEthernet0/4,access:13,,,
E-GUEST-PC,FastEthernet0,ACC-E1,FastEthernet0/5,access:60,,,
E-VOICE-PC,FastEthernet0,ACC-E1,FastEthernet0/6,access:70,,,
E-SECURITY-PC,FastEthernet0,ACC-E1,FastEthernet0/7,access:80,,,
DNS-SERVER,FastEthernet0,ACC-E2,FastEthernet0/2,access:50,,,
EDU-WEB,FastEthernet0,ACC-E2,FastEthernet0/3,access:50,,,
IT-ADMIN,FastEthernet0,ACC-E2,FastEthernet0/4,access:99,,,
HR-TEST,FastEthernet0,ACC-E2,FastEthernet0/5,access:12,,,
FINANCE-TEST,FastEthernet0,ACC-E2,FastEthernet0/6,access:13,,,
ISP,GigabitEthernet0/1,PUBLIC-WEB,FastEthernet0,external,203.0.113.0/24,203.0.113.1,203.0.113.10
