vlan,A,B,C,D,E
10,ADMIN,ADMIN,ADMIN,ADMIN,UNIVERSITY_ADMIN
11,-,-,-,-,STUDENT_AFFAIRS
12,-,-,-,-,HR
13,-,-,-,-,FINANCE
20,FACULTY,FACULTY,FACULTY,FACULTY,-
30,CYBER_STUDENTS,CIVIL_STUDENTS,PHYSICS_STUDENTS,BUSINESS_STUDENTS,-
31,NETWORK_STUDENTS,ELECTRICAL_STUDENTS,CHEMISTRY_STUDENTS,ACCOUNTING_STUDENTS,-
32,SOFTWARE_STUDENTS,-,-,ECONOMICS_STUDENTS,-
40,LABS,LABS,LABS,-,-
50,-,-,-,-,SERVERS
60,GUEST,GUEST,GUEST,GUEST,GUEST
70,VOICE,VOICE,VOICE,VOICE,VOICE
80,SECURITY,SECURITY,SECURITY,SECURITY,SECURITY
99,MANAGEMENT,MANAGEMENT,MANAGEMENT,MANAGEMENT,MANAGEMENT
